Date,Symbol,Series,Close,Prev_Close,Traded_Qty,Delivery_Qty,Delivery_Percent
2026-08-24,AARTIIND,EQ,543.15,527.2,2016424,820454,40.69
2026-08-24,ABB,EQ,7504.0,7424.0,118675,37866,31.91
2026-08-24,ABBOTINDIA,EQ,26420.0,26230.0,10305,4384,42.54
2026-08-24,ABCAPITAL,EQ,412.9,413.0,2111216,796148,37.71
2026-08-24,ABFRL,EQ,53.95,54.35,2911990,1505666,51.71
2026-08-24,ACC,EQ,1300.9,1307.4,88400,46957,53.12
2026-08-24,ADANIENT,EQ,2998.6,2997.0,832518,415479,49.91
2026-08-24,ADANIPORTS,EQ,1672.1,1700.0,1061245,620572,58.48
2026-08-24,ALKEM,EQ,5350.0,5400.0,46339,26045,56.21
2026-08-24,AMBUJACEM,EQ,408.75,414.5,2180550,1161660,53.27
2026-08-24,APOLLOHOSP,EQ,8702.0,8693.0,291970,184991,63.36
2026-08-24,APOLLOTYRE,EQ,445.85,439.7,5256972,1269926,24.16
2026-08-24,ASHOKLEY,EQ,173.29,173.0,8972453,4914046,54.77
2026-08-24,ASIANPAINT,EQ,2640.8,2640.0,355289,215532,60.66
2026-08-24,ASTRAL,EQ,1532.8,1528.5,308892,132981,43.05
2026-08-24,ATUL,EQ,6425.0,6509.5,41601,24669,59.3
2026-08-24,AUBANK,EQ,1114.0,1108.2,1606553,998722,62.17
2026-08-24,AUROPHARMA,EQ,1608.0,1621.3,969437,500274,51.6
2026-08-24,AXISBANK,EQ,1236.0,1245.8,3778588,2684617,71.05
2026-08-24,BAJAJ-AUTO,EQ,11800.0,11700.0,221901,123939,55.85
2026-08-24,BAJAJFINSV,EQ,2001.7,2032.5,464012,236484,50.97
2026-08-24,BAJFINANCE,EQ,1077.0,1095.0,4342556,3193243,73.53
2026-08-24,BALKRISIND,EQ,2358.4,2350.8,124133,64209,51.73
2026-08-24,BALRAMCHIN,EQ,695.5,729.35,12426234,2093013,16.84
2026-08-24,BANDHANBNK,EQ,173.9,175.1,13819305,4705526,34.05
2026-08-24,BANKBARODA,EQ,241.5,247.0,15274497,7955796,52.09
2026-08-24,BATAINDIA,EQ,686.25,701.05,526382,255879,48.61
2026-08-24,BEL,EQ,409.0,414.0,9480784,5485642,57.86
2026-08-24,BERGEPAINT,EQ,515.5,524.4,159390,87484,54.89
2026-08-24,BHARATFORG,EQ,2041.0,2063.0,993747,611885,61.57
2026-08-24,BHARTIARTL,EQ,1935.0,1946.0,2277098,1561564,68.58
2026-08-24,BHEL,EQ,411.4,413.0,4441028,1997441,44.98
2026-08-24,BIOCON,EQ,409.4,415.55,1761155,997043,56.61
2026-08-24,BOSCHLTD,EQ,48100.0,48200.0,28127,12279,43.66
2026-08-24,BPCL,EQ,311.9,311.0,4311364,2543063,58.99
2026-08-24,BRITANNIA,EQ,5311.0,5365.0,260158,139113,53.47
2026-08-24,BSOFT,EQ,299.0,303.75,972297,461188,47.43
2026-08-24,CANBK,EQ,127.3,129.96,13556593,6601801,48.7
2026-08-24,CANFINHOME,EQ,810.1,830.45,177854,103405,58.14
2026-08-24,CHAMBLFERT,EQ,430.95,431.15,361457,237605,65.74
2026-08-24,CHOLAFIN,EQ,1846.7,1862.9,845144,472613,55.92
2026-08-24,CIPLA,EQ,1437.9,1432.2,1220646,627649,51.42
2026-08-24,COALINDIA,EQ,406.9,405.2,8002459,5682158,71.01
2026-08-24,COFORGE,EQ,1873.0,1891.7,1507935,959329,63.62
2026-08-24,COLPAL,EQ,1879.0,1889.0,129484,61060,47.16
2026-08-24,CONCOR,EQ,516.4,515.05,1592382,817552,51.34
2026-08-24,COROMANDEL,EQ,1926.6,1996.1,309282,200571,64.85
2026-08-24,CROMPTON,EQ,246.0,252.0,4617328,2437373,52.79
2026-08-24,CUB,EQ,212.2,217.3,1480490,791611,53.47
2026-08-24,CUMMINSIND,EQ,5190.0,5107.5,686782,379441,55.25
2026-08-24,DABUR,EQ,398.45,400.5,827894,404720,48.89
2026-08-24,DALBHARAT,EQ,1853.0,1880.0,361388,197729,54.71
2026-08-24,DEEPAKNTR,EQ,1730.3,1747.1,464728,320715,69.01
2026-08-24,DELTACORP,EQ,58.88,58.62,788588,383644,48.65
2026-08-24,DIVISLAB,EQ,8496.0,8597.0,251013,131241,52.28
2026-08-24,DIXON,EQ,14570.0,14850.0,735401,248397,33.78
2026-08-24,DLF,EQ,689.0,678.1,5098239,3432335,67.32
2026-08-24,DRREDDY,EQ,1190.0,1174.7,2248634,1387680,61.71
2026-08-24,EICHERMOT,EQ,8047.0,8010.0,207499,109229,52.64
2026-08-24,ESCORTS,EQ,3097.3,3086.6,30269,16189,53.48
2026-08-24,EXIDEIND,EQ,453.3,459.6,1847980,918525,49.7
2026-08-24,FEDERALBNK,EQ,357.75,361.0,4729477,3168089,66.99
2026-08-24,GAIL,EQ,173.75,172.0,4514359,2814798,62.35
2026-08-24,GLENMARK,EQ,2390.7,2317.9,710023,308428,43.44
2026-08-24,GNFC,EQ,593.0,582.8,320064,131067,40.95
2026-08-24,GODREJCP,EQ,928.9,933.0,2002746,1235910,61.71
2026-08-24,GODREJPROP,EQ,2039.9,2035.0,261818,122007,46.6
2026-08-24,GRANULES,EQ,855.3,858.15,305614,146948,48.08
2026-08-24,GRASIM,EQ,3288.0,3308.0,1615909,951283,58.87
2026-08-24,HAL,EQ,4906.0,5000.0,647190,268294,41.46
2026-08-24,HAVELLS,EQ,1268.5,1268.0,307762,149074,48.44
2026-08-24,HCLTECH,EQ,1322.0,1302.5,1091648,594901,54.5
2026-08-24,HDFCAMC,EQ,2618.0,2610.0,657607,439526,66.84
2026-08-24,HDFCBANK,EQ,729.0,726.95,11408345,6724175,58.94
2026-08-24,HDFCLIFE,EQ,552.95,554.8,2134232,1105002,51.78
2026-08-24,HEROMOTOCO,EQ,5685.0,5735.0,281646,145338,51.6
2026-08-24,HINDALCO,EQ,1058.5,1034.0,4052159,2162766,53.37
2026-08-24,HINDCOPPER,EQ,574.15,572.7,11471331,3764136,32.81
2026-08-24,HINDPETRO,EQ,371.95,363.25,4491188,2162295,48.15
2026-08-24,HINDUNILVR,EQ,2030.0,2015.0,891171,556298,62.42
2026-08-24,ICICIBANK,EQ,1415.0,1420.0,5307113,2825622,53.24
2026-08-24,ICICIGI,EQ,1620.0,1617.0,621769,372106,59.85
2026-08-24,ICICIPRULI,EQ,511.25,515.0,774351,332083,42.89
2026-08-24,IDEA,EQ,14.07,13.94,229336931,83936634,36.6
2026-08-24,IDFCFIRSTB,EQ,85.89,86.75,12075489,6825468,56.52
2026-08-24,IEX,EQ,123.01,123.7,2138767,1164259,54.44
2026-08-24,IGL,EQ,147.72,147.87,3531071,2623693,74.3
2026-08-24,INDHOTEL,EQ,728.9,730.0,952562,583092,61.21
2026-08-24,INDIACEM,EQ,367.75,370.9,41453,20688,49.91
2026-08-24,INDIAMART,EQ,1746.0,1742.2,57656,30309,52.57
2026-08-24,INDIGO,EQ,5115.0,5110.0,593388,329467,55.52
2026-08-24,INDUSINDBK,EQ,1018.4,1005.6,948101,415034,43.78
2026-08-24,INDUSTOWER,EQ,374.25,375.75,2142749,1148865,53.62
2026-08-24,INFY,EQ,1130.0,1121.0,8565354,4644257,54.22
2026-08-24,INTELLECT,EQ,687.5,691.25,252992,120304,47.55
2026-08-24,IOC,EQ,138.5,135.9,9432799,4976287,52.76
