Date,Symbol,Series,Close,Prev_Close,Traded_Qty,Delivery_Qty,Delivery_Percent
2021-09-14,AARTIIND,EQ,926.95,928.95,723885,262154,36.21
2021-09-14,ABB,EQ,1907.3,1861.0,163938,87283,53.24
2021-09-14,ABBOTINDIA,EQ,21454.05,21378.55,22983,5152,22.42
2021-09-14,ABCAPITAL,EQ,113.85,113.15,2375746,1055250,44.42
2021-09-14,ABFRL,EQ,216.05,215.9,2448242,1143549,46.71
2021-09-14,ACC,EQ,2442.95,2471.4,174874,69770,39.9
2021-09-14,ADANIENT,EQ,1513.2,1532.45,7143757,3771568,52.8
2021-09-14,ADANIPORTS,EQ,755.4,745.1,5615411,1388244,24.72
2021-09-14,ALKEM,EQ,3806.3,3823.85,54872,25508,46.49
2021-09-14,AMBUJACEM,EQ,432.45,436.25,2872240,1589583,55.34
2021-09-14,APOLLOHOSP,EQ,4732.45,4745.85,528943,309654,58.54
2021-09-14,APOLLOTYRE,EQ,221.05,214.9,3898100,1743377,44.72
2021-09-14,ASHOKLEY,EQ,124.85,123.3,11681491,5859513,50.16
2021-09-14,ASIANPAINT,EQ,3362.5,3367.05,569412,347892,61.1
2021-09-14,ASTRAL,EQ,2107.05,2135.6,262781,136801,52.06
2021-09-14,ATUL,EQ,9850.25,9558.95,35973,14680,40.81
2021-09-14,AUBANK,EQ,1134.0,1150.4,1845711,551394,29.87
2021-09-14,AUROPHARMA,EQ,748.05,736.15,2377906,1314599,55.28
2021-09-14,AXISBANK,EQ,794.4,788.35,6301208,3529043,56.01
2021-09-14,BAJAJ-AUTO,EQ,3751.05,3699.55,741880,483586,65.18
2021-09-14,BAJAJFINSV,EQ,16831.25,16938.2,159227,54257,34.08
2021-09-14,BAJFINANCE,EQ,7417.55,7445.55,719258,300256,41.75
2021-09-14,BALKRISIND,EQ,2472.5,2448.6,289098,111832,38.68
2021-09-14,BALRAMCHIN,EQ,360.1,365.65,795240,382568,48.11
2021-09-14,BANDHANBNK,EQ,284.35,283.95,3308341,1605398,48.53
2021-09-14,BANKBARODA,EQ,78.65,78.25,12162777,3687664,30.32
2021-09-14,BATAINDIA,EQ,1793.6,1768.9,366410,154897,42.27
2021-09-14,BEL,EQ,202.4,196.5,9670105,3223126,33.33
2021-09-14,BERGEPAINT,EQ,834.85,839.3,504689,225852,44.75
2021-09-14,BHARATFORG,EQ,780.05,774.5,2152450,1018259,47.31
2021-09-14,BHARTIARTL,EQ,694.2,693.3,11479081,4082118,35.56
2021-09-14,BHEL,EQ,58.0,55.15,59747450,13765069,23.04
2021-09-14,BIOCON,EQ,355.7,353.6,1174007,519242,44.23
2021-09-14,BOSCHLTD,EQ,14569.0,14566.1,24239,9736,40.17
2021-09-14,BPCL,EQ,493.1,498.1,12091391,6993934,57.84
2021-09-14,BRITANNIA,EQ,4101.5,4093.85,419441,191209,45.59
2021-09-14,BSOFT,EQ,408.9,408.75,1208780,624328,51.65
2021-09-14,CANBK,EQ,155.25,156.8,9677274,4461742,46.11
2021-09-14,CANFINHOME,EQ,630.35,631.75,1204646,328821,27.3
2021-09-14,CHAMBLFERT,EQ,320.3,315.4,720577,409659,56.85
2021-09-14,CHOLAFIN,EQ,581.25,584.4,2256309,690192,30.59
2021-09-14,CIPLA,EQ,953.15,950.45,1373821,864685,62.94
2021-09-14,COALINDIA,EQ,154.7,154.6,8804432,3172869,36.04
2021-09-14,COFORGE,EQ,5295.55,5177.85,396367,116399,29.37
2021-09-14,COLPAL,EQ,1732.95,1723.3,310843,188766,60.73
2021-09-14,CONCOR,EQ,729.1,740.55,1237271,575500,46.51
2021-09-14,COROMANDEL,EQ,827.2,835.05,258280,76097,29.46
2021-09-14,CROMPTON,EQ,489.9,486.3,902511,534364,59.21
2021-09-14,CUB,EQ,156.9,155.55,1539491,417299,27.11
2021-09-14,CUMMINSIND,EQ,1038.65,1044.15,481487,215833,44.83
2021-09-14,DABUR,EQ,639.2,640.2,1422838,905993,63.68
2021-09-14,DALBHARAT,EQ,2447.85,2409.4,569927,311634,54.68
2021-09-14,DEEPAKNTR,EQ,2451.15,2427.6,1002384,317542,31.68
2021-09-14,DELTACORP,EQ,230.4,222.25,12626317,2982476,23.62
2021-09-14,DIVISLAB,EQ,5094.85,5085.2,521157,184924,35.48
2021-09-14,DIXON,EQ,4289.15,4306.75,185828,82210,44.24
2021-09-14,DLF,EQ,342.3,339.65,6832136,2212855,32.39
2021-09-14,DRREDDY,EQ,4930.75,4931.4,309981,114330,36.88
2021-09-14,EICHERMOT,EQ,2820.3,2805.0,672701,135497,20.14
2021-09-14,ESCORTS,EQ,1466.0,1378.85,4243237,973215,22.94
2021-09-14,EXIDEIND,EQ,182.6,184.05,4346188,2011998,46.29
2021-09-14,FEDERALBNK,EQ,82.35,82.1,5706185,2738296,47.99
2021-09-14,GAIL,EQ,156.0,145.9,36317283,12346930,34.0
2021-09-14,GLENMARK,EQ,531.55,518.7,1123980,416721,37.08
2021-09-14,GMRINFRA,EQ,30.0,30.0,4332410,1449768,33.46
2021-09-14,GNFC,EQ,339.85,337.2,621824,407679,65.56
2021-09-14,GODREJCP,EQ,1114.05,1121.25,506206,274167,54.16
2021-09-14,GODREJPROP,EQ,1615.8,1605.9,566580,151988,26.83
2021-09-14,GRANULES,EQ,335.6,323.85,2730146,740869,27.14
2021-09-14,GRASIM,EQ,1611.8,1606.35,1082767,396847,36.65
2021-09-14,GUJGASLTD,EQ,672.7,676.15,1024902,475172,46.36
2021-09-14,HAL,EQ,1409.95,1405.25,2308493,366135,15.86
2021-09-14,HAVELLS,EQ,1465.55,1450.1,1024080,446500,43.6
