Date,Symbol,Open,High,Low,Close,VWAP,Close_vs_VWAP_Percent,Candle_Direction,VWAP_Direction,Market_Direction,Close_Position_Percent,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Previous_Max_Delivery_Date,Previous_Max_Delivery_Qty,Previous_Max_Open,Previous_Max_High,Previous_Max_Low,Previous_Max_Close,OHLC_Direction_Score,Market_Direction_vs_Max_Delivery_Day,Delivery_Percent
2021-09-15,COROMANDEL,827.15,835.95,825.1,831.35,831.4604871757535,-0.013288325477595979,Bullish,Bearish,Mixed Bullish,57.603686635944584,0.5016924564796877,586463,76097.0,7.706782133329829,76097,2021-09-14,76097,834.5,835.95,821.65,827.2,0,Bullish,81.33
2021-09-15,GMRINFRA,30.1,32.55,30.05,32.3,31.76293946911164,1.6908401422060775,Bullish,Bullish,Strong Bullish,89.99999999999999,7.666666666666658,9434790,1449768.0,6.507792971013293,1449768,2021-09-14,1449768,30.2,30.3,29.8,30.0,2,Bullish,29.05
2021-09-15,BHARTIARTL,697.0,734.95,696.15,725.5,721.1262618589494,0.6065148882216237,Bullish,Bullish,Strong Bullish,75.64432989690715,4.50878709305675,20541501,4082118.0,5.032069381629831,4082118,2021-09-14,4082118,695.0,699.7,689.1,694.2,4,Bullish,36.85
2021-09-15,NTPC,116.0,124.85,116.0,124.2,122.1788251502476,1.654275892133427,Bullish,Bullish,Strong Bullish,92.65536723163851,7.161345987920618,20307081,4268793.0,4.757101363312768,4268793,2021-09-14,4268793,115.25,116.15,114.8,115.9,4,Bullish,41.68
2021-09-15,TATACONSUM,885.0,887.4,870.5,871.55,875.4285620308045,-0.44304723412349606,Bearish,Bearish,Strong Bearish,6.21301775147903,-1.1063202087824804,1279433,275536.0,4.643433162998664,275536,2021-09-14,275536,884.8,885.9,877.6,881.3,0,Bearish,65.76
2021-09-15,TATACHEM,836.0,862.0,835.9,858.8,851.2937848800066,0.8817420323409758,Bullish,Bullish,Strong Bullish,87.7394636015324,2.7580017947950886,1057078,252724.0,4.182736898751207,252724,2021-09-14,252724,839.0,842.8,830.9,835.75,2,Bullish,31.24
2021-09-15,BANKBARODA,78.65,81.85,78.45,81.3,80.67155636557693,0.7790151358617212,Bullish,Bullish,Strong Bullish,83.82352941176475,3.3693579148124493,14865614,3687664.0,4.031173664411942,3687664,2021-09-14,3687664,78.7,79.05,78.1,78.65,2,Bullish,38.18
2021-09-15,TATAPOWER,133.1,142.3,132.8,140.05,139.7405083733984,0.2214759558299481,Bullish,Bullish,Strong Bullish,76.31578947368422,5.3007518796992565,18028979,5027123.0,3.58634133280606,5027123,2021-09-14,5027123,131.5,133.3,131.3,133.0,4,Bullish,26.16
2021-09-15,COALINDIA,155.5,162.25,154.25,161.05,159.21744228630152,1.1509779879538728,Bullish,Bullish,Strong Bullish,85.00000000000014,4.104718810601179,10351755,3172869.0,3.262585061028363,3172869,2021-09-14,3172869,155.35,155.5,153.35,154.7,4,Bullish,42.09
2021-09-15,IEX,589.35,612.0,589.0,599.2,603.0859500688123,-0.6443443208001857,Bullish,Bearish,Mixed Bullish,44.34782608695672,2.200238785604655,3680973,1184195.0,3.108417954813185,1184195,2021-09-14,1184195,596.9,597.0,583.5,586.3,2,Bullish,33.23
2021-09-15,METROPOLIS,3077.45,3220.0,3050.75,3174.55,3164.877319057033,0.305625778437722,Bullish,Bullish,Strong Bullish,73.14623338257027,3.1552096703439654,107050,35144.0,3.04603915319827,35144,2021-09-14,35144,3094.0,3094.0,3029.0,3077.45,2,Bullish,25.75
2021-09-15,BATAINDIA,1804.0,1842.0,1784.15,1837.85,1821.2895218556785,0.9092721363404256,Bullish,Bullish,Strong Bullish,92.82627484874659,2.4671052631578947,458872,154897.0,2.9624331007056304,154897,2021-09-14,154897,1778.0,1799.95,1769.5,1793.6,4,Bullish,43.34
2021-09-15,CUB,158.05,158.05,155.55,155.9,156.25384749671525,-0.22645682162974276,Bearish,Bearish,Strong Bearish,13.999999999999774,-0.6373486297004461,1131101,417299.0,2.7105289013393272,417299,2021-09-14,417299,155.8,159.3,155.7,156.9,-2,Bearish,69.28
2021-09-15,ALKEM,3809.7,3860.0,3796.15,3852.15,3841.08803366592,0.2879904401337659,Bullish,Bullish,Strong Bullish,87.70555990602989,1.2045818774137589,68212,25508.0,2.674141445820919,25508,2021-09-14,25508,3843.3,3849.3,3794.4,3806.3,2,Bullish,57.87
2021-09-15,MFSL,1098.8,1137.0,1093.95,1130.85,1118.884942701116,1.069373341462522,Bullish,Bullish,Strong Bullish,85.71428571428548,3.3967267075066165,564595,221864.0,2.5447796848519815,221864,2021-09-14,221864,1101.0,1115.4,1088.1,1093.7,2,Bullish,50.28
2021-09-15,BSOFT,406.5,431.0,405.05,425.7,419.3194822048797,1.5216363813028748,Bullish,Bullish,Strong Bullish,79.57610789980727,4.1085840058694085,1544568,624328.0,2.473968811265873,624328,2021-09-14,624328,410.5,411.3,408.0,408.9,0,Bullish,38.85
2021-09-15,PNB,37.95,38.95,37.75,38.75,38.495475512428754,0.6611802664681181,Bullish,Bullish,Strong Bullish,83.33333333333314,2.513227513227521,14990235,6162088.0,2.432655132481068,6162088,2021-09-14,6162088,37.75,38.35,37.65,37.8,4,Bullish,26.04
2021-09-15,SHREECEM,30770.0,31469.95,30650.0,31040.45,30951.371258983803,0.28780224394853543,Bullish,Bullish,Strong Bullish,47.61875724129524,1.2458208979565235,29789,12911.0,2.307257377430098,12911,2021-09-14,12911,30665.1,30785.0,30403.0,30658.5,4,Bullish,35.5
2021-09-15,IPCALAB,2695.0,2766.2,2610.25,2627.85,2702.6468011331813,-2.7675388845416324,Bearish,Bearish,Strong Bearish,11.285668483488251,-0.3658767772511883,145261,63077.0,2.3029154842494095,63077,2021-09-14,63077,2600.0,2679.8,2571.65,2637.5,2,Bullish,16.88
2021-09-15,CIPLA,955.0,956.6,948.3,952.95,951.0899712443972,0.19556811782687117,Bearish,Bullish,Mixed Bearish,56.0240963855428,-0.020983056182125773,1977518,864685.0,2.286980808039922,864685,2021-09-14,864685,954.8,958.35,949.6,953.15,-2,Bearish,78.8
2021-09-15,INDIACEM,181.9,186.45,181.0,185.0,184.43669676507508,0.305418197574,Bullish,Bullish,Strong Bullish,73.39449541284418,2.012682657843951,953398,431237.0,2.210844616765259,431237,2021-09-14,431237,180.2,182.45,179.15,181.35,4,Bullish,34.17
2021-09-15,RECLTD,156.5,164.35,156.3,161.3,161.39137951980453,-0.05661982695507353,Bullish,Bearish,Mixed Bullish,62.111801242236155,2.4452207049857244,2894638,1324444.0,2.1855495589092477,1324444,2021-09-14,1324444,159.25,159.5,156.75,157.45,0,Bullish,31.09
2021-09-15,INDIAMART,8820.0,9061.3,8719.75,8890.85,8904.649759732425,-0.1549725155370893,Bullish,Bearish,Mixed Bullish,50.095154442980736,1.3029111832735185,43109,19950.0,2.1608521303258144,19950,2021-09-14,19950,8775.0,8901.0,8720.0,8776.5,2,Bullish,22.81
2021-09-15,POWERGRID,174.0,179.0,173.75,177.9,177.58520815043468,0.17726242677749388,Bullish,Bullish,Strong Bullish,79.04761904761915,2.182653647329128,8580109,4001797.0,2.1440640292348663,4001797,2021-09-14,4001797,173.9,175.1,173.5,174.1,4,Bullish,57.02
2021-09-15,LT,1700.0,1724.6,1697.0,1717.0,1715.082619981443,0.11179519844809079,Bullish,Bullish,Strong Bullish,72.46376811594227,1.2113531197500635,1614127,756723.0,2.1330486849216954,756723,2021-09-14,756723,1676.0,1698.8,1675.4,1696.45,4,Bullish,58.53
2021-09-15,TITAN,2060.0,2133.0,2060.0,2119.85,2114.32352346839,0.2613827292875379,Bullish,Bullish,Strong Bullish,81.98630136986289,3.1205915260008803,1122600,527802.0,2.126933963872816,527802,2021-09-14,527802,2038.9,2061.5,2032.05,2055.7,4,Bullish,40.15
2021-09-15,MGL,1194.7,1206.3,1175.1,1180.3,1189.622509380137,-0.7836527391360987,Bearish,Bearish,Strong Bearish,16.66666666666679,-0.7358815861401959,199928,94444.0,2.1168946677396128,94444,2021-09-14,94444,1185.0,1195.0,1183.1,1189.05,0,Bearish,49.13
2021-09-15,CANBK,156.4,162.05,155.5,161.6,159.8228979085089,1.1119195776993076,Bullish,Bullish,Strong Bullish,93.12977099236616,4.0901771336553905,9388524,4461742.0,2.1042283484791366,4461742,2021-09-14,4461742,157.0,157.9,154.65,155.25,2,Bullish,49.4
2021-09-15,LALPATHLAB,4157.0,4245.5,4127.0,4208.6,4200.992771923713,0.18108167495855662,Bullish,Bullish,Strong Bullish,68.8607594936712,1.6152787502716408,74380,35419.0,2.100002823343403,35419,2021-09-14,35419,4170.45,4174.05,4122.05,4141.7,2,Bullish,30.84
2021-09-15,SBIN,433.0,445.0,431.45,443.85,439.4436858566536,1.0027028001908245,Bullish,Bullish,Strong Bullish,91.51291512915147,2.5057736720554327,8683362,4167481.0,2.083599661282199,4167481,2021-09-14,4167481,435.0,436.75,432.25,433.0,0,Bullish,39.15
2021-09-15,SAIL,120.55,121.9,119.55,120.75,120.667226157272,0.06859678917299294,Bullish,Bullish,Strong Bullish,51.063829787233985,0.08288437629506366,10954896,5321158.0,2.0587428525896057,5321158,2021-09-14,5321158,120.95,121.7,119.7,120.65,0,Bullish,35.07
2021-09-15,BANDHANBNK,285.0,293.55,284.0,291.15,289.2069423467528,0.6718571959166565,Bullish,Bullish,Strong Bullish,74.86910994764365,2.39141902584841,3302653,1605398.0,2.057217587165301,1605398,2021-09-14,1605398,284.55,287.5,283.5,284.35,4,Bullish,41.35
2021-09-15,GLENMARK,532.0,537.6,528.0,535.9,534.7936166947982,0.20688042464672976,Bullish,Bullish,Strong Bullish,82.29166666666623,0.8183613959176038,854431,416721.0,2.0503670321390093,416721,2021-09-14,416721,520.3,533.65,520.0,531.55,4,Bullish,51.21
2021-09-16,HINDCOPPER,118.7,119.0,116.6,116.95,117.64399844620152,-0.5899140248271005,Bearish,Bearish,Strong Bearish,14.583333333333654,-6.139646869983942,6631782,793773.0,8.354758854231626,1826016,2021-09-14,1826016,125.45,129.75,124.1,126.0,-4,Bearish,47.33
