Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_30_Day_Max,Delivery_Percent
2026-09-24,MFSL,1410.0,-9.783095527544953,5752789,225018,25.56590583864402,714503,50.37
2026-09-24,ICICIPRULI,464.5,-4.12796697626419,3800027,419501,9.058445629450228,2700326,48.95
2026-09-24,HDFCLIFE,526.9,-6.1620658949243134,6650472,1222580,5.439702923326081,4194438,37.14
2026-09-24,SBILIFE,1755.0,-0.2840909090909091,1782128,342729,5.199816764849196,1092715,51.66
2026-09-24,AXISBANK,1186.5,-4.560810810810814,5862610,1255454,4.669713107768186,4959803,53.83
2026-09-24,MOTHERSON,162.5,-1.155717761557181,15071278,3558796,4.234937321498619,14523618,68.35
2026-09-24,COROMANDEL,1942.5,-0.6901840490797546,330837,83014,3.985315729876888,316370,89.8
2026-09-24,ESCORTS,2822.9,0.9296006292681183,161271,46457,3.4714036636029015,77035,50.22
2026-09-24,BAJAJFINSV,1762.3,-4.559978337395075,817714,318515,2.5672699872847433,504220,53.8
2026-09-24,CHOLAFIN,1681.7,-5.202931228861328,1893180,807865,2.3434360939018277,1803796,45.59
